STATION,lines,latitude,longitude,zipcode,state,borough,neighborhood
CHURCH AV,FG,40.644039,-73.979541,11218,NY,Brooklyn,Borough Park
CITY HALL,NRW,40.713086,-74.007232,10007,NY,Manhattan,Lower Manhattan
CLARK ST,23,40.697356,-73.992888,11201,NY,Brooklyn,Northwest Brooklyn
CLASSON AV,G,40.688855,-73.960025,11238,NY,Brooklyn,Central Brooklyn
CLEVELAND ST,J,40.679938,-73.884687,11208,NY,Brooklyn,East New York and New Lots
CLINTON-WASH AV,C,40.683263000000004,-73.965838,11238,NY,Brooklyn,Central Brooklyn
CLINTON-WASH AV,G,40.688123,-73.96674200000001,11238,NY,Brooklyn,Central Brooklyn
CONEY IS-STILLW,DFNQ,40.577422999999996,-73.981225,11224,NY,Brooklyn,Southern Brooklyn
CORTELYOU RD,BQ,40.640905,-73.96386600000001,11226,NY,Brooklyn,Flatbush
CORTLANDT ST,NRW,40.710662,-74.011052,10271,NY,Manhattan,-
COURT SQ,7,40.747029,-73.94537,11101,NY,Queens,Northwest Queens
COURT SQ,EGM,40.747257,-73.945112,11101,NY,Queens,Northwest Queens
COURT SQ-23 ST,EGM,40.747257,-73.945112,11101,NY,Queens,Northwest Queens
CRESCENT ST,JZ,40.683209000000005,-73.873765,11421,NY,Queens,Southwest Queens
CROWN HTS-UTICA,34,40.669278999999996,-73.932967,11213,NY,Brooklyn,Central Brooklyn
CYPRESS AV,6,40.805737,-73.91447099999999,10455,NY,Bronx,Hunts Point and Mott Haven
CYPRESS HILLS,J,40.689945,-73.872564,11421,NY,Queens,Southwest Queens
DEKALB AV,BDNQR,40.690612,-73.981848,11217,NY,Brooklyn,Northwest Brooklyn
DEKALB AV,L,40.703839,-73.91844,11237,NY,Brooklyn,Bushwick and Williamsburg
DELANCEY/ESSEX,FJMZ,40.718379999999996,-73.987813,10002,NY,Manhattan,Lower East Side
DITMAS AV,F,40.63615,-73.978179,11218,NY,Brooklyn,Borough Park
DYCKMAN ST,1,40.860523,-73.925575,10034,NY,Manhattan,Inwood and Washington Heights
DYCKMAN ST,A,40.865286,-73.92698,10034,NY,Manhattan,Inwood and Washington Heights
E 143/ST MARY'S,6,40.808741999999995,-73.90769,10455,NY,Bronx,Hunts Point and Mott Haven
E 149 ST,6,40.812104,-73.904085,10455,NY,Bronx,Hunts Point and Mott Haven
E 180 ST,25,40.841882,-73.873551,10460,NY,Bronx,Central Bronx
EAST 105 ST,L,40.650625,-73.899558,11236,NY,Brooklyn,Canarsie and Flatlands
EAST BROADWAY,F,40.713646999999995,-73.990152,10002,NY,Manhattan,Lower East Side
EASTCHSTER/DYRE,5,40.888244,-73.83085,10466,NY,Bronx,Northeast Bronx
EASTN PKWY-MUSM,23,40.672013,-73.96436,11238,NY,Brooklyn,Central Brooklyn
ELDER AV,6,40.828894,-73.879559,10459,NY,Bronx,Hunts Point and Mott Haven
ELMHURST AV,MR,40.742445000000004,-73.882005,11373,NY,Queens,West Queens
EUCLID AV,AC,40.675382,-73.87207,11208,NY,Brooklyn,East New York and New Lots
EXCHANGE PLACE,1,40.716737,-74.033024,07311,NJ,,
FAR ROCKAWAY,A,40.603983,-73.755383,11691,NY,Queens,Rockaways
FLATBUSH AV-B.C,25,40.632836,-73.947642,11210,NY,Brooklyn,Flatbush
FLUSHING AV,G,40.700374,-73.950284,11206,NY,Brooklyn,Bushwick and Williamsburg
FLUSHING AV,JM,40.700244,-73.94165799999999,11206,NY,Brooklyn,Bushwick and Williamsburg
FLUSHING-MAIN,7,40.759578000000005,-73.830056,11355,NY,Queens,North Queens
FORDHAM RD,4,40.862941,-73.901199,10468,NY,Bronx,Bronx Park and Fordham
FORDHAM RD,BD,40.862803,-73.901034,10468,NY,Bronx,Bronx Park and Fordham
FOREST AVE,M,40.704423999999996,-73.903077,11237,NY,Brooklyn,Bushwick and Williamsburg
FOREST HILLS 71,EFMR,40.721681,-73.84439,11375,NY,Queens,West Central Queens
FRANKLIN AV,2345S,40.670711,-73.958051,11238,NY,Brooklyn,Central Brooklyn
FRANKLIN AV,ACS,40.681159,-73.956056,11238,NY,Brooklyn,Central Brooklyn
FRANKLIN ST,1,40.719322999999996,-74.006953,10013,NY,Manhattan,Greenwich Village and Soho
FREEMAN ST,25,40.829966,-73.891876,10459,NY,Bronx,Hunts Point and Mott Haven
FRESH POND RD,M,40.706181,-73.89591,11385,NY,Queens,West Central Queens
FT HAMILTON PKY,D,40.640871999999995,-73.994229,11219,NY,Brooklyn,Borough Park
FT HAMILTON PKY,FG,40.650721999999995,-73.975818,11218,NY,Brooklyn,Borough Park
FT HAMILTON PKY,N,40.631428,-74.005387,11219,NY,Brooklyn,Borough Park
FULTON ST,2345ACJZ,40.70993800000001,-74.00798299999998,10271,NY,Manhattan,-
FULTON ST,G,40.687129999999996,-73.975346,11217,NY,Brooklyn,Northwest Brooklyn
GATES AV,JZ,40.689652,-73.92228100000001,11221,NY,Brooklyn,Bushwick and Williamsburg
GRAHAM AV,L,40.71459,-73.94410400000001,11211,NY,Brooklyn,Greenpoint
GRAND ARMY PLAZ,23,40.675219,-73.971012,11217,NY,Brooklyn,Northwest Brooklyn
GRAND ST,BD,40.718542,-73.994164,10002,NY,Manhattan,Lower East Side
GRAND ST,L,40.711874,-73.94067,11211,NY,Brooklyn,Greenpoint
GRAND-NEWTOWN,MR,40.736998,-73.87724200000001,11373,NY,Queens,West Queens
GRANT AV,A,40.677107,-73.865376,11208,NY,Brooklyn,East New York and New Lots
GRD CNTRL-42 ST,4567S,40.751849,-73.976945,10167,NY,Manhattan,-
GREENPOINT AV,G,40.731324,-73.954425,11222,NY,Brooklyn,Greenpoint
GROVE STREET,1,40.719876,-74.04261600000001,07302,NJ,,
GUN HILL RD,25,40.877796000000004,-73.86625500000001,10467,NY,Bronx,Bronx Park and Fordham
GUN HILL RD,5,40.877796000000004,-73.866341,10467,NY,Bronx,Bronx Park and Fordham
HALSEY ST,J,40.686170000000004,-73.916337,11233,NY,Brooklyn,Central Brooklyn
HALSEY ST,L,40.695607,-73.904021,11237,NY,Brooklyn,Bushwick and Williamsburg
HARLEM 148 ST,3,40.823877,-73.93644300000001,10039,NY,Manhattan,Central Harlem
HARRISON,1,40.738879,-74.15553299999999,07102,NJ,,
HEWES ST,JM,40.706994,-73.95348100000001,11211,NY,Brooklyn,Greenpoint
HIGH ST,AC,40.699315999999996,-73.990474,11201,NY,Brooklyn,Northwest Brooklyn
HOUSTON ST,1,40.728202,-74.005344,10012,NY,Manhattan,Greenwich Village and Soho
HOWARD BCH JFK,A,40.660476,-73.830301,11430,NY,Queens,-
HOYT ST,23,40.690546,-73.9850655,11201,NY,Brooklyn,Northwest Brooklyn
HOYT-SCHER,ACG,40.688465,-73.985474,11217,NY,Brooklyn,Northwest Brooklyn
HUNTERS PT AV,7,40.74238,-73.94888900000001,11109,NY,Queens,-
HUNTS POINT AV,6,40.820889,-73.890567,10459,NY,Bronx,Hunts Point and Mott Haven
INTERVALE AV,25,40.822171999999995,-73.89674699999999,10459,NY,Bronx,Hunts Point and Mott Haven
