Station,Name,Borough,Latitude,Longitude
RALPH AV,Ralph Av,Brooklyn,40.678822,-73.920786
RECTOR ST,Rector St,Manhattan,40.7073665,-74.0135625
RIT-MANHATTAN,RIT - Manhattan,,40.761268,-73.964016
RIT-ROOSEVELT,RIT - Roosevelt,,40.7574,-73.954006
ROCKAWAY AV,Rockaway Av,Brooklyn,40.6704445,-73.910446
ROCKAWAY BLVD,Rockaway Blvd,Queens,40.680429,-73.843853
ROCKAWAY PARK B,Rockaway Park - Beach 116 St,Queens,40.680429,-73.835592
ROOSEVELT ISLND,Roosevelt Island,Manhattan,40.680429,-73.95326
SARATOGA AV,Saratoga Av,Brooklyn,40.680429,-73.916327
SENECA AVE,Seneca Av,Queens,40.680429,-73.90774
SHEEPSHEAD BAY,Sheepshead Bay,Brooklyn,40.680429,-73.954155
SHEPHERD AV,Shepherd Av,Brooklyn,40.680429,-73.88075
SIMPSON ST,Simpson St,Bronx,40.680429,-73.893064
SMITH-9 ST,Smith - 9 Sts,Brooklyn,40.680429,-73.995959
SOUTH FERRY,South Ferry,Manhattan,40.680429,-74.013664
SPRING ST,Spring St,Manhattan,40.680429,-74.00044
ST LAWRENCE AV,St Lawrence Av,Bronx,40.680429,-73.867618
ST. GEORGE,St George,Staten Island,40.680429,-74.073643
STEINWAY ST,Steinway St,Queens,40.680429,-73.92074
STERLING ST,Sterling St,Brooklyn,40.680429,-73.95085
SUTPHIN BLVD,Sutphin Blvd,Queens,40.680429,-73.810708
SUTPHIN-ARCHER,Sutphin Blvd - Archer Av - JFK Airport,Queens,40.680429,-73.807969
SUTTER AV,Sutter Av,Brooklyn,40.680429,-73.901975
SUTTER AV-RUTLD,Sutter Av - Rutland Rd,Brooklyn,40.680429,-73.92261
THIRTY ST,,,,
THIRTY THIRD ST,Thirty Third St,,40.748931,-73.988113
TIMES SQ-42 ST,Times Sq - 42 St,Manhattan,40.7553555,-73.98704225
TOMPKINSVILLE,Tompkinsville,Staten Island,40.636949,-74.074835
TREMONT AV,Tremont Av,Bronx,40.85041,-73.905227
TWENTY THIRD ST,23 St,Manhattan,40.7428064,-73.9924924
UNION ST,Union St,Brooklyn,40.677316,-73.98311
UTICA AV,Utica Av,Brooklyn,40.679364,-73.930729
V.CORTLANDT PK,Van Cortlandt Park - 242 St,Bronx,40.889248,-73.898583
VAN SICLEN AV,Van Siclen Av,Brooklyn,40.672061,-73.89048033
VAN SICLEN AVE,Van Siclen Av,Brooklyn,40.672061,-73.89048033
VERNON-JACKSON,Vernon Blvd - Jackson Av,Queens,40.742626,-73.953581
W 4 ST-WASH SQ,W 4 St,Manhattan,40.732338,-74.000495
W 8 ST-AQUARIUM,W 8 St - NY Aquarium,Brooklyn,40.576127,-73.975939
WAKEFIELD/241,Wakefield - 241 St,Bronx,40.903125,-73.85062
WALL ST,Wall St,Manhattan,40.707189,-74.010481
WEST FARMS SQ,West Farms Sq - E Tremont Av,Bronx,40.840295,-73.880049
WESTCHESTER SQ,Westchester Sq - E Tremont Av,Bronx,40.839892,-73.842952
WHITEHALL S-FRY,Whitehall St,Manhattan,40.703087,-74.012994
WHITLOCK AV,Whitlock Av,Bronx,40.826525,-73.886283
WILSON AV,Wilson Av,Brooklyn,40.688764,-73.904046
WINTHROP ST,Winthrop St,Brooklyn,40.656652,-73.9502
WOODHAVEN BLVD,Woodhaven Blvd,Queens,40.7134925,-73.8604025
WOODLAWN,Woodlawn,Bronx,40.886037,-73.878751
WORLD TRADE CTR,World Trade Center,Manhattan,40.712582,-74.009781
WTC-CORTLANDT,WTC Cortlandt,Manhattan,40.711835,-74.012188
YORK ST,York St,Brooklyn,40.701397,-73.986751
ZEREGA AV,Zerega Av,Bronx,40.836488,-73.847036
